index,Name,Hall of Fame Class,Year Drafted,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
32,Johnny Moore,,1980.0,82.0,19.2,7.4,3.0,6.3,47.9,0.0,0.2,5.3,1.3,2.1,61.0,0.7,1.7,2.4,4.5,1.5,0.3,1.9,10.0
33,Kelvin Ransey,,1980.0,80.0,30.4,15.2,6.6,14.5,45.2,0.0,0.4,9.7,2.1,2.7,74.9,0.5,1.9,2.4,6.9,1.1,0.1,2.9,14.3
34,Kevin McHale,1999.0,1980.0,82.0,20.1,10.0,4.3,8.1,53.3,0.0,0.0,0,1.3,1.9,67.9,1.9,2.5,4.4,0.7,0.3,1.8,1.3,11.4
35,Kiki Vandeweghe,,1980.0,51.0,27.0,11.5,4.5,10.5,42.6,0.0,0.1,0,2.5,3.1,81.8,1.7,3.6,5.3,1.8,0.6,0.5,1.7,11.4
36,Kyle Macy,,1980.0,82.0,17.9,8.1,3.3,6.5,51.1,0.1,0.6,23.5,1.3,1.5,89.9,0.5,1.1,1.6,2.0,0.9,0.1,1.2,8.2
37,Larry Drew,,1980.0,76.0,20.8,6.6,2.6,6.4,40.7,0.1,0.2,23.5,1.4,1.8,79.7,0.3,1.3,1.6,3.3,1.2,0.1,2.2,6.4
38,Larry Smith,,1980.0,82.0,31.4,9.6,3.7,7.2,51.2,0.0,0.0,0,2.2,3.7,58.8,5.3,6.8,12.1,1.1,0.8,0.8,1.8,17.6
39,Lorenzo Romar,,1980.0,53.0,13.7,4.1,1.6,4.0,41.2,0.0,0.1,33.3,0.8,1.2,68.3,0.2,0.9,1.1,2.6,0.5,0.1,1.0,4.6
40,Louis Orr,,1980.0,82.0,21.8,10.5,4.2,8.6,49.1,0.0,0.1,0,2.0,2.5,80.7,2.1,2.3,4.4,1.6,0.7,0.3,1.5,11.1
41,Lowes Moore,,1980.0,71.0,19.8,7.0,3.0,6.7,44.4,0.1,0.4,14.8,1.0,1.3,75.0,0.6,1.8,2.4,3.2,0.9,0.2,1.5,8.1
42,Michael Brooks,,1980.0,82.0,30.2,14.7,6.0,12.4,47.9,0.0,0.1,0,2.8,3.9,70.6,2.6,2.8,5.4,2.5,1.2,0.4,2.0,14.6
43,Mike Gminski,,1980.0,56.0,28.2,13.2,5.2,12.3,42.3,0.0,0.0,0,2.8,3.6,76.7,2.4,5.0,7.5,1.3,1.0,1.8,2.3,14.5
44,Mike Harper,,1980.0,55.0,8.4,2.7,1.0,2.5,41.2,0.0,0.1,0,0.7,1.5,43.5,0.5,1.2,1.7,0.3,0.4,0.4,0.6,2.6
